Primary site	Site subtype 1	Site subtype 2	Site subtype 3	CALOHA
skin	eye	ns	ns	TS-0309
skin	face	ns	ns	TS-2216
skin	flank	ns	ns	TS-2336
skin	foot	ns	ns	TS-0377
skin	forearm	ns	ns	TS-2205
skin	genital	ns	ns	TS-1318
skin	groin	ns	ns	TS-2339
skin	hand	ns	ns	TS-2213
skin	head_neck	ns	ns	TS-2356
skin	hip	ns	ns	TS-2226
skin	intermittently_sun_exposed_site	ns	ns	TS-0934
skin	knee	ns	ns	TS-2220
skin	labia	ns	ns	TS-2210
skin	leg	ns	ns	TS-2206
skin	lip	ns	ns	TS-0558
skin	lower_back	ns	ns	TS-2223
skin	lower_extremity	ns	ns	TS-2215
skin	lower_leg	ns	ns	TS-2461
skin	mucosal	ns	ns	TS-2031
skin	neck	ns	ns	TS-2045
skin	nipple	ns	ns	TS-2234
skin	non_chronically_sun_exposed_site	ns	ns	TS-0934
skin	ns	ns	ns	TS-0934
skin	ovary	ns	ns	TS-0730
skin	penis	ns	ns	TS-0758
skin	pubis	ns	ns	TS-2346
skin	scalp	ns	ns	TS-0896
skin	scrotum	ns	ns	TS-2341
skin	shoulder	ns	ns	TS-2229
skin	sole	ns	ns	TS-0379
skin	subungual	ns	ns	TS-0934
skin	sun_exposed_site	ns	ns	TS-0934
skin	trunk	ns	ns	TS-1071
skin	upper_arm	ns	ns	TS-2462
skin	upper_back	ns	ns	TS-2223
skin	upper_extremity	ns	ns	TS-2214
skin	upper_leg	ns	ns	TS-2039
skin	vulva	ns	ns	TS-1168
small_intestine	duodenum	ns	ns	TS-0214
small_intestine	ileum	ns	ns	TS-0472
small_intestine	jejunum	ns	ns	TS-0496
small_intestine	ns	ns	ns	TS-0942
soft_tissue	blood_vessel	abdomen	ns	TS-0001
soft_tissue	blood_vessel	ankle	ns	TS-2219
soft_tissue	blood_vessel	arm	ns	TS-2204
soft_tissue	blood_vessel	back	ns	TS-2223
soft_tissue	blood_vessel	bone	ns	TS-0088
soft_tissue	blood_vessel	brain	ns	TS-0095
soft_tissue	blood_vessel	brainstem	ns	TS-0093
soft_tissue	blood_vessel	breast	ns	TS-2083
soft_tissue	blood_vessel	buttock	ns	TS-2224
soft_tissue	blood_vessel	central_nervous_system	ns	TS-0150
soft_tissue	blood_vessel	chest	ns	TS-1039
soft_tissue	blood_vessel	finger	ns	TS-2460
soft_tissue	blood_vessel	foot	ns	TS-0377
soft_tissue	blood_vessel	forearm	ns	TS-2205
soft_tissue	blood_vessel	hand	ns	TS-2213
soft_tissue	blood_vessel	head_neck	ns	TS-2356
soft_tissue	blood_vessel	heart	ns	TS-0445
soft_tissue	blood_vessel	hip	ns	TS-2226
soft_tissue	blood_vessel	kidney	ns	TS-0510
soft_tissue	blood_vessel	leg	ns	TS-2206
soft_tissue	blood_vessel	liver	ns	TS-0564
soft_tissue	blood_vessel	lower_leg	ns	TS-2461
soft_tissue	blood_vessel	lung	ns	TS-0568
soft_tissue	blood_vessel	nose	ns	TS-2037
soft_tissue	blood_vessel	ns	ns	TS-2090
soft_tissue	blood_vessel	skin	ns	TS-0934
soft_tissue	blood_vessel	small_intestine	ns	TS-0942
soft_tissue	blood_vessel	spinal_cord	ns	TS-0953
soft_tissue	blood_vessel	tibia	ns	TS-1048
soft_tissue	blood_vessel	upper_arm	ns	TS-2462
soft_tissue	blood_vessel	upper_leg	ns	TS-2039
soft_tissue	blood_vessel	uterus	ns	TS-1102
soft_tissue	blood_vessel	wrist	ns	TS-2463
soft_tissue	fat	abdomen	ns	TS-0001
soft_tissue	fat	buttock	ns	TS-2224
soft_tissue	fat	chest	ns	TS-1039
soft_tissue	fat	chest_wall	ns	TS-2464
soft_tissue	fat	groin	ns	TS-2339
soft_tissue	fat	head_neck	ns	TS-2356
soft_tissue	fat	kidney	ns	TS-0510
soft_tissue	fat	leg	ns	TS-2206
soft_tissue	fat	lower_leg	ns	TS-2461
soft_tissue	fat	mediastinum	ns	TS-2338
soft_tissue	fat	mesentery	ns	TS-2465
soft_tissue	fat	ns	ns	TS-0013
soft_tissue	fat	pelvis	ns	TS-2227
soft_tissue	fat	retroperitoneum	ns	TS-2337
soft_tissue	fat	trunk	ns	TS-1071
soft_tissue	fat	upper_leg	ns	TS-2039
